word,phonetic,definition_en,definition_ja,sentence_1,sentence_2,sentence_3
open,/ˈəʊ.pən/,"To move something so that people or air can go through.",～を開ける・開く,Please open the door.,I opened the window for fresh air.,What time does the store open?
swim,/swɪm/,"To move through water using your body.",泳ぐ,I like to swim in the sea.,Can you swim across the pool?,He swims every Tuesday after school.
listen,/ˈlɪs.ən/,"To pay attention to sounds with your ears.",聴く,I like to listen to music.,Please listen to your teacher.,We listened to a nice story.
look,/lʊk/,"To turn your eyes toward something to see it.",見る,Please look at the blackboard.,Look at that beautiful bird!,He looked out the window.
sing,/sɪŋ/,"To make musical sounds with your voice.",歌う,We sing a song together.,She sings beautifully on the stage.,He likes to sing in the shower.
know,/nəʊ/,"To have information or understand something.",～を知る,I know your name.,Do you know where the station is?,She knows how to speak French.
sit,/sɪt/,"To rest your body on a chair or seat.",座る,Please sit down on the chair.,We sat in the garden yesterday.,He sits next to me in class.
clean,/kliːn/,"To make something free from dirt.",～を掃除する,I clean my room every Saturday.,Please clean the blackboard.,They cleaned the classroom together.
help,/help/,"To do something useful for someone.",助ける,Can I help you?,He helped me with my homework.,She helps her mother cook dinner.
meet,/miːt/,"To see and speak to someone for the first time or by plan.",～に会う,Nice to meet you!,Let's meet at the station.,I met my friend yesterday.
walk,/wɔːk/,"To move on foot at a regular pace.",歩く,I walk to school every morning.,We walked in the park yesterday.,He walks his dog every evening.
ski,/skiː/,"To move over snow on skis.",スキーをする,We go to ski in winter.,She can ski very well.,He wants to learn how to ski.
start,/stɑːt/,"To begin doing something.",始める,Let's start the English lesson.,The movie starts at seven o'clock.,It started to rain in the afternoon.
talk,/tɔːk/,"To speak with someone about something.",話す,I like to talk with my friends.,We talked about our summer holiday.,Please talk to your teacher.
teach,/tiːtʃ/,"To give knowledge or skill to someone.",教える,He teaches math at our school.,She taught me how to play tennis.,Can you teach me this word?
do,/duː/,"To perform an action or activity.",～する/～を行う,I do my homework every day.,What did you do on the weekend?,Please do your best.
think,/θɪŋk/,"To use your mind to consider something.",考える,I think this is a good idea.,What do you think about the movie?,Please think before you answer.
need,/niːd/,"To require something because it is necessary.",～が欲しい,I need a clean glass of water.,Do you need any help?,We need food and shelter to live.
close,/kləʊz/,"To shut something so that it is not open.",～を閉める,Please close the door.,The store closes at nine o'clock.,She closed her book.
give,/ɡɪv/,"To hand something to someone.",～をあげる・与える,She gave me a sweet apple.,Please give me that book.,He gave a present to his friend.
stop,/stɒp/,"To end an action or movement.",止まる,Please stop the car here.,The rain stopped in the afternoon.,He stopped walking to check his phone.
dance,/dɑːns/,"To move your body to music.",ダンスする,They like to dance at the party.,She danced very beautifully.,Can you dance with me?
love,/lʌv/,"To like someone or something very much.",愛する,I love my family.,She loves sweet fruits.,He loves playing tennis.
live,/lɪv/,"To have your home in a particular place.",生きる/住む,I live in Japan.,They live in a beautiful house.,He has lived here for three years.
stand,/stænd/,"To be in an upright position on your feet.",立つ,Please stand up.,A tall tree stands near the house.,We had to stand on the train.
wait,/weɪt/,"To stay in a place until someone or something arrives.",待つ,Please wait a minute.,We waited for the bus for ten minutes.,He is waiting for his friend.
put,/pʊt/,"To place something in a particular position.",～を置く,Please put the book on the table.,She put the keys in her bag.,He put butter on his bread.
brush,/brʌʃ/,"To clean or smooth with a brush.",ブラシをかける,I brush my teeth every morning.,Please brush your hair.,He brushed his jacket.
ride,/raɪd/,"To travel on a horse, bicycle, or motorcycle.",乗る,I ride my bicycle to school.,He likes to ride horses.,She learned how to ride a bike.
camp,/kæmp/,"To stay or sleep in a tent outside.",キャンプをする,We like to camp in the mountains.,They camped near the beautiful river.,We are going to camp this weekend.
learn,/lɜːn/,"To get knowledge or skill in a new subject.",～を習う/学ぶ,We learn many new English words.,He wants to learn how to swim.,She is learning to play the piano.
smile,/smaɪl/,"To make a happy expression on your face.",にっこりする/笑う,She always smiles at me.,He had a happy smile on his face.,The little baby smiled in her sleep.
begin,/bɪˈɡɪn/,"To start doing something.",始める,The school concert will begin soon.,He began to study at eight o'clock.,Let us begin our dinner.
enjoy,/ɪnˈdʒɔɪ/,"To get pleasure or satisfaction from something.",～を楽しむ,I enjoy playing soccer.,Did you enjoy the movie?,We enjoyed our holiday very much.
practice,/ˈpræk.tɪs/,"To do something regularly to improve your skill.",練習する,I practice tennis every day.,She practices the piano after school.,We must practice for the soccer match.
drive,/draɪv/,"To control and guide a vehicle.",～を運転する,My father drives a blue car.,He taught me how to drive.,She drives to work every morning.
ask,/ɑːsk/,"To say something to get an answer or request help.",お願いする,Can I ask you a question?,He asked for a glass of water.,She asked her teacher for help.
tell,/tel/,"To say something to give information.",～を言う,Please tell me your name.,My grandfather tells great stories.,He told me where the station was.
fly,/flaɪ/,"To move through the air.",飛ぶ/飛行機で行く,Birds can fly high in the sky.,We will fly to Canada next week.,I saw a kite flying in the wind.
jump,/dʒʌmp/,"To push yourself up into the air using your legs.",ジャンプする,He can jump very high.,The dog jumped over the fence.,Children like to jump on the bed.
stay,/steɪ/,"To remain in a place.",とどまる・いる,I will stay at home today.,We stayed at a beautiful hotel.,How long will you stay here?
move,/muːv/,"To go from one place or position to another.",動く,Please don't move.,We are going to move to a new house.,He moved the chair to the corner.
turn,/tɜːn/,"To move in a circle or change direction.",回る/（角で）曲がる,Please turn left at the corner.,The wheels of the bicycle started to turn.,Turn the key to open the door.
visit,/ˈvɪz.ɪt/,"To go to see a person or place.",～を訪ねる/会いに行く,I want to visit my grandmother.,We visited a beautiful temple in Kyoto.,He will visit Canada next summer.
try,/traɪ/,"To make an effort to do something.",～をやってみる/試す,Please try your best.,I want to try this new food.,She tried to open the window.
